NATURA: Przyroda
;LĄD;
;Cecha;Krajobraz
1;Jałowy;Bagno
2;Suchy;Wrzosowisko
3;Szary;Urwiska
4;Rzadki;Szczyty
5;Ostry;Las
6;Tętniący życiem;Dolina
7;Spokojny;Wzgórza
8;Miękki;Łąka
9;Zarosły;Moczary
10;Jaskrawy;Jeziora
11;Przemoczony;Polany
12;Bujny;Równina

NATURA: Przyroda-1
;NIEBO;
;Odcień;Tekstura
1;Lśniący;Zorza
2;Fioletowy;Mgła
3;Szafirowy;Marmur
4;Blady;Poświata
5;Płomienny;Fale
6;Kości słoniowej;Wiry
7;Łupkowy;Smugi
8;Różowy;Cętki
9;Złoty;Promienie
10;Krwawy;Kolumny
11;Jasny;Połysk
12;Atramentowy;Zatoki

NATURA: Przyroda-2
;WODA;
;Ton;Tekstura
1;Kryształowa;Jedwab
2;Turkusowa;Fale
3;Perłowa;Otchłań
4;Błotnista;Wir
5;Kobaltowa;Piana
6;Zielona;Zwierciadło
7;Oszroniona;Przypływ
8;Ciemna;Szkło
9;Zielonkawa;Brzeg
10;Srebrna;Bystrza
11;Szmaragdowa;Mgła wodna
12;Jadeitowa;Bańki

NATURA: Przyroda-3
;POGODA;
;Opis;Element
1;Łagodna;Deszcz
2;Przemijająca;Podmuchy
3;Uporczywa;Chmury
4;Jasna;Światło słoneczne
5;Cienka;Mgła
6;Chłodna;Wilgoć
7;Gorąca;Grzmot
8;Stała;Kurz
9;Matowa;Ciepło
10;Lekkie;Mżawka
11;Obfita;Bryza
12;Surowa;Gęsta mgła

NATURA: Przyroda-1-1
;ROŚLINNOŚĆ;
;Natura;Forma
1;Aromatyczna;Trawy
2;Popielata;Wrzos
3;Kwitnąca;Krzewy
4;Poskręcana;Ciernie
5;Wieżyczkowata;Korony drzew
6;Owocna;Paprocie
7;Parząca;Pnie
8;Wibrująca;Pnącza
9;Krucha;Iglaki
10;Ciernista;Sadzonki
11;Solidna;Trzciny
12;Żywiczna;Korzenie

NATURA: Przyroda-2-1
;FAUNA;
;Natura;Forma
1;Czujna;Kopytne
2;Pomocna;Śpiewające ptaki
3;Gracja;Psy
4;Głośna;Gryzonie
5;Psotna;Płazy
6;Podstępna;Owady
7;Oświecająca;Kotowate
8;Spokojna;Gady
9;Piękna;Jastrzębie
10;Potężna;Łasicowate
